id,name,codes,count,times
679,Atheism and Buddhism,EAST 390 / RLST 102,158,Th 13.30-15.20
1007,Ethics and the Law,EP&E 421 / PLSC 320,84,W 18.30-20.20 + 1
170,ClimateChnge&Societal Collapse,ANTH 473 / ARCG 473 / EVST 473 / NELC 473,79,Th 16.00-17.50
1220,The Films of Alfred Hitchcock,FILM 411 / LITR 380,78,Th 13.30-15.20 + 1
1569,Renaissance Bodies,HSAR 282 / HSHM 237 / WGSS 282,74,M 13.30-15.10 + 1
86,Afro-Asian Formations of Race,AMST 362 / ER&M 350,72,T 13.30-15.20
71,Intro Critical Refugee Studies,AMST 206 / ER&M 221 / WGSS 222,71,W 9.25-11.15
434,Philosophy for Psychologists,CGSC 313 / PHIL 305 / PSYC 313,70,M 13.30-15.20
2480,PresidentlCampaigns&theMedia,PLSC 236,69,Th 13.30-15.20
483,Autism and Related Disorders,CHLD 350 / EDST 350 / PSYC 350,66,T 15.30-17.00
733,EconmicsAddiction&PublicPolicy,ECON 461,66,T 13.00-14.50
1424,Yale and America,HIST 134J,66,Th 15.30-17.20
